Country (or dependency),Population (2020),Net Change,Density (P/Km²),Land Area (Km²),Migrants (net)
Nigeria,206139589,5175990,226,910770,-60000.0
North Macedonia,2083374,-85,83,25220,-1000.0
Norway,5421241,42384,15,365268,28000.0
Oman,5106626,131640,16,309500,87400.0
Pakistan,220892340,4327022,287,770880,-233379.0
Palestine,5101414,119994,847,6020,-10563.0
Panama,4314767,68328,58,74340,11200.0
Papua New Guinea,8947024,170915,20,452860,-800.0
Paraguay,7132538,87902,18,397300,-16556.0
Peru,32971854,461401,26,1280000,99069.0
Philippines,109581078,1464463,368,298170,-67152.0
Poland,37846611,-41157,124,306230,-29395.0
Portugal,10196709,-29478,111,91590,-6000.0
Puerto Rico,2860853,-72555,323,8870,-97986.0
Qatar,2881053,48986,248,11610,40000.0
Reunion,895312,6385,358,2500,-1256.0
Romania,19237691,-126866,84,230170,-73999.0
Russia,145934462,62206,9,16376870,182456.0
Rwanda,12952218,325268,525,24670,-9000.0
Saint Barthelemy,9877,30,470,21,0.0
Saint Kitts and Nevis,53199,376,205,260,0.0
Saint Lucia,183627,837,301,610,0.0
Saint Martin,38666,664,730,53,0.0
Saint Vincent and the Grenadines,110940,351,284,390,-200.0
San Marino,33931,71,566,60,0.0
Sao Tome and Principe,219159,4103,228,960,-1680.0
Saudi Arabia,34813871,545343,16,2149690,134979.0
Senegal,16743927,447563,87,192530,-20000.0
Serbia,8737371,-34864,100,87460,4000.0
Seychelles,98347,608,214,460,-200.0
Sierra Leone,7976983,163768,111,72180,-4200.0
Singapore,5850342,46005,8358,700,27028.0
Slovakia,5459642,2629,114,48088,1485.0
Slovenia,2078938,284,103,20140,2000.0
Somalia,15893222,450317,25,627340,-40000.0
South Africa,59308690,750420,49,1213090,145405.0
South Korea,51269185,43877,527,97230,11731.0
South Sudan,11193725,131612,18,610952,-174200.0
Spain,46754778,18002,94,498800,40000.0
Sri Lanka,21413249,89516,341,62710,-97986.0
Sudan,43849260,1036022,25,1765048,-50000.0
Suriname,586632,5260,4,156000,-1000.0
Sweden,10099265,62886,25,410340,40000.0
Switzerland,8654622,63257,219,39516,52000.0
Syria,17500658,430523,95,183630,-427391.0
Taiwan,23816775,42899,673,35410,30001.0
Tanzania,59734218,1728755,67,885800,-40076.0
Thailand,69799978,174396,137,510890,19444.0
Togo,8278724,196358,152,54390,-2000.0
Tokelau,1357,17,136,10,0.0
Tonga,105695,1201,147,720,-800.0
Trinidad and Tobago,1399488,4515,273,5130,-800.0
Tunisia,11818619,123900,76,155360,-4000.0
Turkey,84339067,909452,110,769630,283922.0
Uganda,45741007,1471413,229,199810,168694.0
Ukraine,43733762,-259876,75,579320,10000.0
United Arab Emirates,9890402,119873,118,83600,40000.0
United Kingdom,67916242,356040,483,242080,260650.0
United States,331002651,1937734,36,9147420,954806.0
Uruguay,3473730,11996,20,175020,-3000.0
Uzbekistan,33469203,487487,79,425400,-8863.0
Venezuela,28435940,-79889,32,882050,-653249.0
Vietnam,97338579,876473,314,310070,-80000.0
Western Sahara,597339,14876,2,266000,5582.0
Yemen,29825964,664042,56,527970,-30000.0
Zambia,18383955,522925,25,743390,-8000.0
Zimbabwe,14862924,217456,38,386850,-116858.0
